ID,AGENCY,REGULATION,DAYS,HOURS,HRS_BEGIN,HRS_END,REGDETAILS,MODIFIED,EDITOR,RPPAREA1,RPPAREA2,RPPAREA3,FID_100,LENGTH_FT,CONFLICT,ENACTED,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,HRLIMIT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,RPP_SYM,MTAB_DATE,MTAB_MOTION,MTAB_RESO_TEXT,SYM_RPP2,GLOBALID,EXCEPTIONS,FROM_TIME,TO_TIME,shape
,,Time limited,M-Sa,700-1800,700,1800,16-132,20161013000000,Arty Zhang,,,,,,,9/20/2016,,,,,1.0,AZHANG,20161014012639,MTA,20170513001346,,20160920000000,,"U. ESTABLISH – UNMETERED GENERAL PARKING, 1 HOUR TIME LIMIT, 7 AM TO 6 PM MONDAY THROUGH SATURDAY |  33rd Avenue, west side, from 35 feet to 70 feet south of Taraval Street",,,None. Regulation applies to all vehicles.,7am,6pm,"MULTILINESTRING ((-122.49074 37.74207, -122.490746 37.74216))"
,,Time limited,M-F,900-1800,900,1800,,20190820000000,GCHAN,,,,,,,1/15/2019,GCHAN,20190820000000,GCHAN,20190820000000,4.0,GCHAN,20190820231813,GCHAN,20190820232238,,20190115000000,190115-02,"ESTABLISH – 4-HOUR PARKING, 9 AM TO 6 PM, MONDAY THROUGH FRIDAY – Fairfax Avenue, both sides, from Phelps Street to 3rd Street",,,None. Regulation applies to all vehicles.,9am,6pm,"MULTILINESTRING ((-122.38895 37.742348, -122.38822 37.74192))"
,,Time limited,M-F,900-1800,900,1800,,20190820000000,GCHAN,,,,,,,1/15/2019,GCHAN,20190820000000,GCHAN,20190820000000,4.0,GCHAN,20190820231851,GCHAN,20190820232234,,20190115000000,190115-02,"ESTABLISH – 4-HOUR PARKING, 9 AM TO 6 PM, MONDAY THROUGH FRIDAY – Fairfax Avenue, both sides, from Phelps Street to 3rd Street
ESTABLISH – 4-HOUR PARKING, 9 AM TO 6 PM, MONDAY THROUGH FRIDAY – Fairfax Avenue, both sides, from Phelps Street to 3rd Street",,,None. Regulation applies to all vehicles.,9am,6pm,"MULTILINESTRING ((-122.38897 37.742317, -122.38824 37.741894))"
,,Time limited,M-F,900-1800,900,1800,,20190820000000,GCHAN,,,,,,,1/15/2019,GCHAN,20190820000000,GCHAN,20190820000000,4.0,GCHAN,20190820231025,GCHAN,20190820232309,,20190115000000,190115-02,"ESTABLISH – 4-HOUR PARKING, 9 AM TO 6 PM, MONDAY THROUGH FRIDAY – Phelps Street, both sides, from Evans Street to Fairfax Avenue",,,None. Regulation applies to all vehicles.,9am,6pm,"MULTILINESTRING ((-122.388504 37.74297, -122.38902 37.7424))"
,,No parking any time,,,,,Streetview verified November 2016,,,,,,,,,,,,,,,RAYNELLCOOPER,20191031234147,RAYNELLCOOPER,20191031234514,,,,,,,None. Regulation applies to all vehicles.,,,"MULTILINESTRING ((-122.38898 37.764225, -122.38886 37.763157))"
,,No parking any time,,,,,Streetview verified November 2016,,Arty Zhang,,,,,,,,,,,,,AZHANG,20170216220509,MTA,20170429001217,,,,,,,None. Regulation applies to all vehicles.,,,"MULTILINESTRING ((-122.38981 37.77617, -122.38972 37.774666))"
,,Time limited,M-Sa,900-2200,900,2200,Metered. Also is active for special event Sundays,,,,,,,,,,,,,,4.0,TMINICUCCI,20170929012616,TMINICUCCI,20170929012733,,20170815000000,170815-102,"J. ESTABLISH – GENERAL METERED PARKING, 4-HOUR TIME LIMIT, 9 AM TO 10PM, MONDAY THROUGH SATURDAY AND SPECIAL EVENT SUNDAYS − El Dorado Street, east side, between Channel Street and Long Bridge Street; El Dorado Street, west side, between Channel Street and Long Bridge Street.",,,,,,"MULTILINESTRING ((-122.39362 37.772636, -122.39315 37.772255))"
,,No parking any time,,,,,,,,,,,,,,,,,,,,AZHANG,20170217001926,MTA,20170429001217,,,,,,,None. Regulation applies to all vehicles.,,,"MULTILINESTRING ((-122.39607 37.770348, -122.39605 37.770126, -122.39604 37.769917, -122.395966 37.769726, -122.39581 37.769382))"
,,No parking any time,,,,,Streetview verified November 2016,,Arty Zhang,,,,,,,,,,,,,AZHANG,20170217201326,MTA,20170429001217,,,,,,,None. Regulation applies to all vehicles.,,,"MULTILINESTRING ((-122.387436 37.769005, -122.386444 37.769054))"
,,Time limited,M-F,800-2100,800,2100,,,,S,,,,,,,,,,,2.0,TMINICUCCI,20170217000039,MTA,20170513001739,"black, 2.0 pt, no dash",20170103000000,170103-001,,"black, 2.0 pt, no dash | 2, M-F, 800-2100",,Yes. RPP holders are exempt from time limits.,8am,9pm,"MULTILINESTRING ((-122.429146 37.774635, -122.42774 37.774815))"
,,,M-Sa,,,,,,,,,,,,,,,,,,,RAYNELLCOOPER,20191029232518,RAYNELLCOOPER,20191029232518,,,,,,,,,,
,,Time limited,M-Sa,700-1800,700,1800,16-132,20161013000000,Arty Zhang,,,,,,,9/20/2016,,,,,1.0,AZHANG,20161014014708,MTA,20170513001328,,20160920000000,,"U. ESTABLISH – UNMETERED GENERAL PARKING, 1 HOUR TIME LIMIT, 7 AM TO 6 PM MONDAY THROUGH SATURDAY |  Taraval Street, south side, from 41st Avenue to 55 feet westerly",,,None. Regulation applies to all vehicles.,7am,6pm,"MULTILINESTRING ((-122.49937 37.741924, -122.49956 37.741917))"
